station,start_time,end_time,zr_hours,label,duration
AND,1981-12-21 21:17,1981-12-22 03:00,2.5,0,5.72
CMH,1981-12-21 22:38,1981-12-22 02:00,3.37,0,3.37
LWB,1981-12-21 22:46,1981-12-22 18:00,18.05,1,19.23
EKN,1981-12-21 23:00,1981-12-21 23:00,0.0,0,0.0
AVL,1981-12-21 23:00,1981-12-22 07:00,3.47,0,8.0
INT,1981-12-21 23:00,1981-12-22 04:00,5.0,0,5.0
LCK,1981-12-21 23:00,1981-12-22 01:00,2.0,0,2.0
ATL,1981-12-21 23:19,1981-12-22 05:25,4.68,0,6.1
PKB,1981-12-22 00:00,1981-12-22 01:10,1.0,0,1.17
AHN,1981-12-22 00:27,1981-12-22 09:14,8.77,1,8.78
HKY,1981-12-22 01:00,1981-12-22 03:00,2.0,0,2.0
GSO,1981-12-22 01:00,1981-12-22 10:00,4.07,0,9.0
CHO,1981-12-22 03:00,1981-12-22 03:00,0.0,0,0.0
ROA,1981-12-22 03:00,1981-12-22 04:00,1.0,0,1.0
CLE,1981-12-22 03:00,1981-12-22 03:00,0.0,0,0.0
FTY,1981-12-22 03:00,1981-12-22 03:00,0.0,0,0.0
DAN,1981-12-22 03:00,1981-12-22 03:00,0.0,0,0.0
RDU,1981-12-22 03:00,1981-12-22 05:00,2.0,0,2.0
GSP,1981-12-22 03:00,1981-12-22 05:00,2.0,0,2.0
CLT,1981-12-22 04:00,1981-12-22 06:00,1.45,0,2.0
IAD,1981-12-22 05:33,1981-12-22 08:00,2.45,0,2.45
DAA,1981-12-22 07:00,1981-12-22 08:00,1.0,0,1.0
ADW,1981-12-22 08:00,1981-12-22 11:00,3.0,0,3.0
MRB,1981-12-22 08:00,1981-12-22 10:00,2.0,0,2.0
NHK,1981-12-22 09:00,1981-12-22 09:00,0.0,0,0.0
IPT,1981-12-22 10:00,1981-12-22 10:00,0.0,0,0.0
ITH,1981-12-22 11:00,1981-12-22 11:00,0.0,0,0.0
