median_time,filename,zr_hours,index,med_lat,med_lon
1982-03-16 13:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203161100_198203162300.csv,1.812,71733.899,44.75,-89.75
1982-03-16 20:59,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203161525_198203170800.csv,1.396,3657.975,40.25,-76.0
1982-03-20 03:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1981/198203191300_198203201100.csv,2.272,164765.291,43.75,-90.75
1982-11-25 01:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198211241400_198211251100.csv,2.762,54194.11,32.25,-99.75
1982-11-27 23:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198211270500_198211280700.csv,4.199,50911.626,39.25,-97.5
1982-11-28 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198211280400_198211290600.csv,2.909,2383797.613,42.0,-85.0
1982-11-29 01:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198211281630_198211292200.csv,3.285,18111775.132,42.75,-75.0
1982-12-10 09:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212100500_198212101800.csv,3.153,468981.085,40.0,-88.5
1982-12-16 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212152000_198212161006.csv,2.28,730402.872,44.75,-68.75
1982-12-19 13:03,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212191129_198212191600.csv,1.237,120065.494,35.25,-81.25
1982-12-23 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212230500_198212231500.csv,2.242,88022.724,41.5,-76.0
1982-12-24 04:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212232100_198212241100.csv,5.104,13038420.64,43.25,-72.5
1982-12-24 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212240400_198212250100.csv,3.188,75434.413,42.0,-98.0
1982-12-25 11:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212251000_198212251112.csv,2.284,222868.908,44.75,-68.75
1982-12-27 06:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212261300_198212271000.csv,3.713,1760536.401,36.25,-100.0
1982-12-27 18:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198212271100_198212280600.csv,5.947,107928.49,41.75,-95.25
1983-01-06 14:21,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301060400_198301070000.csv,1.47,386644.744,44.5,-91.5
1983-01-09 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301090600_198301092013.csv,3.576,63302.065,47.75,-97.5
1983-01-10 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301092300_198301101600.csv,2.337,1454825547.446,42.0,-75.0
1983-01-11 00:44,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301102100_198301110500.csv,2.13,53610.343,43.75,-71.0
1983-01-18 13:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301181200_198301181600.csv,4.008,359817.029,34.75,-99.25
1983-01-20 00:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301190500_198301201500.csv,3.497,82927.891,34.5,-96.0
1983-01-20 19:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301200700_198301210300.csv,7.475,29395.145,33.75,-86.75
1983-01-21 13:05,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301210300_198301220000.csv,10.047,481934.979,37.75,-84.0
1983-01-22 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301220100_198301230200.csv,5.495,3459414425.182,40.75,-81.5
1983-01-23 14:22,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301230300_198301240500.csv,5.201,55840485.59,43.0,-73.25
1983-01-29 07:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198301290300_198301291837.csv,2.897,14837.993,43.75,-93.0
1983-02-02 00:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302011200_198302021000.csv,4.156,218711.61,41.25,-89.25
1983-02-02 15:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302021000_198302030500.csv,4.617,2116157.959,43.75,-75.75
1983-02-05 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302050700_198302051800.csv,2.957,39055.585,34.5,-92.25
1983-02-06 12:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302060900_198302062100.csv,2.169,336104.762,35.75,-80.0
1983-02-07 11:05,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302070200_198302072100.csv,2.306,818682.935,40.25,-75.5
1983-02-14 07:04,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302140100_198302141300.csv,3.267,517628.852,35.75,-80.25
1983-02-19 18:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302191000_198302192200.csv,4.42,1720050.575,46.75,-99.0
1983-02-20 21:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302201500_198302211320.csv,2.349,291445.913,41.0,-99.0
1983-02-22 11:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198302220700_198302221400.csv,3.312,112882.117,44.5,-88.0
1983-03-02 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303021000_198303022100.csv,3.79,3186648.601,44.0,-72.75
1983-03-03 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303031100_198303032100.csv,1.404,5358106.154,45.5,-85.25
1983-03-05 23:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303051700_198303060200.csv,9.971,95775.405,46.75,-102.25
1983-03-07 05:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303062100_198303071400.csv,3.758,128833518.678,47.75,-97.5
1983-03-07 23:15,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303071626_198303080800.csv,4.337,27950.337,43.25,-71.25
1983-03-21 11:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1982/198303202302_198303212300.csv,5.315,34396170.969,43.0,-76.25
1983-11-22 16:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198311220600_198311222100.csv,4.855,83614.917,42.0,-97.0
1983-11-23 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198311231100_198311232100.csv,1.976,41801.866,41.5,-93.75
1983-11-27 00:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198311261900_198311271700.csv,7.578,2503124.871,40.75,-97.0
1983-11-27 21:59,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198311271110_198311280800.csv,2.109,106294.713,43.5,-89.75
1983-11-28 14:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198311280600_198311290200.csv,5.136,11670599.46,43.0,-75.0
1983-12-02 20:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312021141_198312030200.csv,2.246,77820.052,39.75,-83.25
1983-12-03 15:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312030000_198312040100.csv,4.561,2758532.161,39.0,-95.75
1983-12-04 10:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312040200_198312041400.csv,3.728,62480770.261,42.0,-78.75
1983-12-10 20:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312101500_198312110200.csv,2.889,5296212.788,40.5,-92.5
1983-12-11 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312110300_198312120300.csv,2.696,12569763877.914,42.75,-85.75
1983-12-12 13:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312120400_198312131000.csv,3.298,143638398053.303,43.25,-73.0
1983-12-21 09:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312201900_198312211719.csv,4.616,2116189.702,35.5,-90.0
1983-12-21 21:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312210659_198312220425.csv,5.466,18440239.325,39.75,-80.0
1983-12-22 14:36,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312220600_198312230700.csv,2.974,924959047307.804,43.0,-73.75
1983-12-27 14:30,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312270300_198312280300.csv,3.665,34499952.753,34.0,-90.5
1983-12-28 09:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312271300_198312281715.csv,3.521,2437042.035,37.5,-82.75
1983-12-28 16:00,Events_070522_eps=5_t=2.5_lon=mean-lat/1983/198312280602_198312290328.csv,4.0,22352909.901,41.75,-75.5
